company_name,company_key,domain,company_careers_url,detected_ats,discovery_status,source_count,validated_source_count,polled_source_count,connectors,source_types,jobs_created_total,jobs_accepted_total,retained_live_total,last_successful_poll_at,from_csv_seed,sample_source_urls,regionPriority,priorityTier,research_notes,candidate_origin_files,dedupe_basis,normalizedCompanyKey,normalizedCareersUrl,decision
Bending Spoons,bendingspoons,bendingspoons.com,https://bendingspoons.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://bendingspoons.com/careers/,Europe,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,bendingspoons,https://bendingspoons.com/careers,duplicate_existing_seed_csv
Climeworks,climeworks,climeworks.com,https://climeworks.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://climeworks.com/careers,Europe,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,climeworks,https://climeworks.com/careers,duplicate_existing_seed_csv
OutSystems,outsystems,outsystems.com,https://www.outsystems.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.outsystems.com/careers/,Europe,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,outsystems,https://outsystems.com/careers,duplicate_existing_seed_csv
Oxford Nanopore,oxfordnanopore,nanoporetech.com,https://nanoporetech.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://nanoporetech.com/careers,Europe,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,oxfordnanopore,https://nanoporetech.com/careers,duplicate_existing_seed_csv
Supercell,supercell,supercell.com,https://supercell.com/en/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://supercell.com/en/careers/,Europe,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,supercell,https://supercell.com/en/careers,duplicate_existing_seed_csv
Talkdesk,talkdesk,talkdesk.com,https://www.talkdesk.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.talkdesk.com/careers/,Europe,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,talkdesk,https://talkdesk.com/careers,duplicate_existing_seed_csv
DJI,dji,we.dji.com,https://we.dji.com/jobs,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://we.dji.com/jobs,Asia-Pacific,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,dji,https://we.dji.com/jobs,duplicate_existing_seed_csv
Lazada,lazada,lazada.com,https://www.lazada.com/en/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.lazada.com/en/careers/,Asia-Pacific,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,lazada,https://lazada.com/en/careers,duplicate_existing_seed_csv
Li Auto,liauto,lixiang.com,https://www.lixiang.com/en/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.lixiang.com/en/careers,Asia-Pacific,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,liauto,https://lixiang.com/en/careers,duplicate_existing_seed_csv
Sea Group,seagroup,sea.com,https://www.sea.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.sea.com/careers,Asia-Pacific,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,seagroup,https://sea.com/careers,duplicate_existing_seed_csv
XPeng,xpeng,xpeng.com,https://www.xpeng.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.xpeng.com/careers,Asia-Pacific,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,xpeng,https://xpeng.com/careers,duplicate_existing_seed_csv
Cars24,cars24,cars24.com,https://www.cars24.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.cars24.com/careers/,India,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,cars24,https://cars24.com/careers,duplicate_existing_seed_csv
Icertis,icertis,icertis.com,https://www.icertis.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.icertis.com/careers/,India,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,icertis,https://icertis.com/careers,duplicate_existing_seed_csv
Infra.Market,inframarket,infra.market,https://infra.market/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://infra.market/careers,India,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,inframarket,https://infra.market/careers,duplicate_existing_seed_csv
OfBusiness,ofbusiness,ofbusiness.com,https://www.ofbusiness.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.ofbusiness.com/careers,India,1,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,ofbusiness,https://ofbusiness.com/careers,duplicate_existing_seed_csv
AfterShip,aftership,aftership.com,https://www.aftership.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.aftership.com/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,aftership,https://aftership.com/careers,duplicate_existing_seed_csv
AI21 Labs,ai21labs,ai21.com,https://www.ai21.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.ai21.com/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,ai21labs,https://ai21.com/careers,duplicate_existing_seed_csv
Aidoc,aidoc,aidoc.com,https://www.aidoc.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.aidoc.com/careers/,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,aidoc,https://aidoc.com/careers,duplicate_existing_seed_csv
Arbe,arbe,arbe.ai,https://arbe.ai/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://arbe.ai/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,arbe,https://arbe.ai/careers,duplicate_existing_seed_csv
Augury,augury,augury.com,https://www.augury.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.augury.com/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,augury,https://augury.com/careers,duplicate_existing_seed_csv
Coralogix,coralogix,coralogix.com,https://coralogix.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://coralogix.com/careers/,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,coralogix,https://coralogix.com/careers,duplicate_existing_seed_csv
Guesty,guesty,guesty.com,https://www.guesty.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.guesty.com/careers/,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,guesty,https://guesty.com/careers,duplicate_existing_seed_csv
Hailo,hailo,hailo.ai,https://hailo.ai/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://hailo.ai/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,hailo,https://hailo.ai/careers,duplicate_existing_seed_csv
Innoviz,innoviz,innoviz.tech,https://innoviz.tech/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://innoviz.tech/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,innoviz,https://innoviz.tech/careers,duplicate_existing_seed_csv
Insilico Medicine,insilicomedicine,insilico.com,https://insilico.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://insilico.com/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,insilicomedicine,https://insilico.com/careers,duplicate_existing_seed_csv
Lime,lime,li.me,https://www.li.me/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.li.me/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,lime,https://li.me/careers,duplicate_existing_seed_csv
Nozomi Networks,nozominetworks,nozominetworks.com,https://www.nozominetworks.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.nozominetworks.com/careers/,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,nozominetworks,https://nozominetworks.com/careers,duplicate_existing_seed_csv
Own,own,ownbackup.com,https://www.ownbackup.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.ownbackup.com/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,own,https://ownbackup.com/careers,duplicate_existing_seed_csv
Productboard,productboard,productboard.com,https://www.productboard.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.productboard.com/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,productboard,https://productboard.com/careers,duplicate_existing_seed_csv
Silverfort,silverfort,silverfort.com,https://www.silverfort.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.silverfort.com/careers/,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,silverfort,https://silverfort.com/careers,duplicate_existing_seed_csv
Weka,weka,weka.io,https://www.weka.io/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.weka.io/careers,Global,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,weka,https://weka.io/careers,duplicate_existing_seed_csv
Alation,alation,alation.com,https://www.alation.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.alation.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,alation,https://alation.com/careers,duplicate_existing_seed_csv
Anchorage Digital,anchoragedigital,anchorage.com,https://www.anchorage.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.anchorage.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,anchoragedigital,https://anchorage.com/careers,duplicate_existing_seed_csv
Arcadia,arcadia,arcadia.com,https://www.arcadia.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.arcadia.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,arcadia,https://arcadia.com/careers,duplicate_existing_seed_csv
Axiom Space,axiomspace,axiomspace.com,https://www.axiomspace.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.axiomspace.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,axiomspace,https://axiomspace.com/careers,duplicate_existing_seed_csv
Bluevine,bluevine,bluevine.com,https://www.bluevine.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.bluevine.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,bluevine,https://bluevine.com/careers,duplicate_existing_seed_csv
Collective Health,collectivehealth,collectivehealth.com,https://collectivehealth.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://collectivehealth.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,collectivehealth,https://collectivehealth.com/careers,duplicate_existing_seed_csv
Color Health,colorhealth,color.com,https://www.color.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.color.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,colorhealth,https://color.com/careers,duplicate_existing_seed_csv
Degreed,degreed,degreed.com,https://degreed.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://degreed.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,degreed,https://degreed.com/careers,duplicate_existing_seed_csv
Dremio,dremio,dremio.com,https://www.dremio.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.dremio.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,dremio,https://dremio.com/careers,duplicate_existing_seed_csv
Expensify,expensify,expensify.com,https://www.expensify.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.expensify.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,expensify,https://expensify.com/careers,duplicate_existing_seed_csv
Fervo Energy,fervoenergy,fervoenergy.com,https://fervoenergy.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://fervoenergy.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,fervoenergy,https://fervoenergy.com/careers,duplicate_existing_seed_csv
Firefly Aerospace,fireflyaerospace,fireflyspace.com,https://fireflyspace.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://fireflyspace.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,fireflyaerospace,https://fireflyspace.com/careers,duplicate_existing_seed_csv
Flexe,flexe,flexe.com,https://www.flexe.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.flexe.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,flexe,https://flexe.com/careers,duplicate_existing_seed_csv
Fundbox,fundbox,fundbox.com,https://fundbox.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://fundbox.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,fundbox,https://fundbox.com/careers,duplicate_existing_seed_csv
Gem,gem,gem.com,https://www.gem.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.gem.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,gem,https://gem.com/careers,duplicate_existing_seed_csv
General Fusion,generalfusion,generalfusion.com,https://generalfusion.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://generalfusion.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,generalfusion,https://generalfusion.com/careers,duplicate_existing_seed_csv
GitKraken,gitkraken,gitkraken.com,https://www.gitkraken.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.gitkraken.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,gitkraken,https://gitkraken.com/careers,duplicate_existing_seed_csv
Headspace,headspace,headspace.com,https://www.headspace.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.headspace.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,headspace,https://headspace.com/careers,duplicate_existing_seed_csv
HeartFlow,heartflow,heartflow.com,https://www.heartflow.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.heartflow.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,heartflow,https://heartflow.com/careers,duplicate_existing_seed_csv
Hippo,hippo,hippo.com,https://www.hippo.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.hippo.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,hippo,https://hippo.com/careers,duplicate_existing_seed_csv
Inworld AI,inworldai,inworld.ai,https://www.inworld.ai/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.inworld.ai/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,inworldai,https://inworld.ai/careers,duplicate_existing_seed_csv
K Health,khealth,khealth.com,https://www.khealth.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.khealth.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,khealth,https://khealth.com/careers,duplicate_existing_seed_csv
Kajabi,kajabi,kajabi.com,https://kajabi.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://kajabi.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,kajabi,https://kajabi.com/careers,duplicate_existing_seed_csv
Kandji,kandji,kandji.io,https://www.kandji.io/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.kandji.io/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,kandji,https://kandji.io/careers,duplicate_existing_seed_csv
Luma AI,lumaai,lumalabs.ai,https://lumalabs.ai/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://lumalabs.ai/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,lumaai,https://lumalabs.ai/careers,duplicate_existing_seed_csv
Mammoth Biosciences,mammothbiosciences,mammoth.bio,https://mammoth.bio/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://mammoth.bio/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,mammothbiosciences,https://mammoth.bio/careers,duplicate_existing_seed_csv
Melio,melio,meliopayments.com,https://www.meliopayments.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.meliopayments.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,melio,https://meliopayments.com/careers,duplicate_existing_seed_csv
Misfits Market,misfitsmarket,misfitsmarket.com,https://www.misfitsmarket.com/careers,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.misfitsmarket.com/careers,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,misfitsmarket,https://misfitsmarket.com/careers,duplicate_existing_seed_csv
MoneyLion,moneylion,moneylion.com,https://www.moneylion.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.moneylion.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,moneylion,https://moneylion.com/careers,duplicate_existing_seed_csv
Next Insurance,nextinsurance,nextinsurance.com,https://www.nextinsurance.com/careers/,company-site,DISCOVERED,1,0,0,company-site,COMPANY_HTML,0,0,0,,true,https://www.nextinsurance.com/careers/,North America,2,Official careers page,international_startup_careers_import_net_new_500plus.csv,excluded if normalized company_name/company_key/domain/company_careers_url/sample_source_urls matched uploaded compact list,nextinsurance,https://nextinsurance.com/careers,duplicate_existing_seed_csv
