rank,companyName,careersUrl,regionPriority,priorityTier,whyImportant,notes,ats_vendor
1514,Allied Van Lines,https://www.allied.com/careers,North America,3,Validated broad company careers expansion,category=Transportation; type=Private; city=Oakbrook Terrace; state=IL; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1515,Allison Transmission Holdings,https://allisontransmission.com/careers,North America,3,Validated broad company careers expansion,industry=Motor Vehicles and Parts; sector=Motor Vehicles & Parts; rank=974; category=Motor Vehicles & Parts; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1516,Allocadia,https://www.uptempo.io/careers,Vancouver,3,Validated broad company careers expansion,"location=Vancouver; employees=11-50; raised=$1,000,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1517,Ally Financial,https://www.ally.com/about/careers,North America,3,Validated broad company careers expansion,industry=Commercial Banks; sector=Financials; rank=295; category=Financials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1518,Altova,https://www.altova.com/careers,North America,3,Validated broad company careers expansion,category=Data/Technology; type=Private; city=Beverly; state=MA; category=Data/Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1519,Always Hired,https://alwayshired.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1520,AMC Networks,https://www.amcglobalmedia.com/careers,North America,3,Validated broad company careers expansion,industry=Entertainment; sector=Media; rank=949; category=Media; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1522,Ameren,https://www.ameren.com/career,North America,3,Validated broad company careers expansion,industry=Utilities: Gas and Electric; sector=Energy; rank=438; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1523,American Axle & Manufacturing,https://careers.aam.com/en,North America,3,Validated broad company careers expansion,industry=Motor Vehicles and Parts; sector=Motor Vehicles & Parts; rank=657; category=Motor Vehicles & Parts; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1524,American Electric Power,https://www.aep.com/careers,North America,3,Validated broad company careers expansion,industry=Utilities: Gas and Electric; sector=Energy; rank=184; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1525,American Water Works,https://jobs.amwater.com,North America,3,Validated broad company careers expansion,industry=zMiscellaneous; sector=Energy; rank=750; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1526,Ameriprise Financial,https://www.ameriprise.com/careers,North America,3,Validated broad company careers expansion,industry=Diversified Financials; sector=Financials; rank=247; category=Financials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1527,Ametek,https://www.ametek.com/careers,North America,3,Validated broad company careers expansion,"industry=Scientific,Photographic and Control Equipment; sector=Technology; rank=619; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1529,Amkor Technology,https://amkor.com/careers,North America,3,Validated broad company careers expansion,industry=Semiconductors and Other Electronic Components; sector=Technology; rank=726; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1530,Analytica,https://www.analytica.net/careers,North America,3,Validated broad company careers expansion,category=Data/Technology; type=Private; city=Washington DC; state=DC; category=Data/Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1531,Antero Resources,https://www.anteroresources.com/careers,North America,3,Validated broad company careers expansion,"industry=Mining, Crude-Oil Production; sector=Energy; rank=811; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1532,AnyRoad,https://www.anyroad.com/company/careers,San Francisco,3,Validated broad company careers expansion,location=San Francisco; employees=11-50; raised=-; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1533,Anywhere Real Estate,https://anywhere.re/careers,North America,3,Validated broad company careers expansion,rank=427; employees=9748; category=Large Employers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1534,Apache,https://apachecorp.com/careers,North America,3,Validated broad company careers expansion,"industry=Mining, Crude-Oil Production; sector=Energy; rank=218; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1535,Apollo GraphQL,https://www.apollographql.com/careers,North America,3,Validated broad company careers expansion,city=140 10th Street; state=Sa; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1536,AppDirect,https://www.appdirect.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1541,Apttus,https://conga.com/careers,North America,3,Validated broad company careers expansion,city=San Mateo; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1542,ArcBest,https://arcb.com/careers,North America,3,Validated broad company careers expansion,"industry=Trucking, Truck Leasing; sector=Transportation; rank=832; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1543,Archrock,https://www.archrock.com/careers,North America,3,Validated broad company careers expansion,"industry=Oil and Gas Equipment, Services; sector=Energy; rank=778; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1544,Arpin Van Lines,https://www.bekins.com/contact/careers,North America,3,Validated broad company careers expansion,category=Transportation; type=Private; city=West Warwick; state=RI; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1545,ARRIS Group,https://jobs.commscope.com,North America,3,Validated broad company careers expansion,industry=Network and Other Communications Equipment; sector=Technology; rank=492; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1546,Ask Media Group,https://www.askmediagroup.com/careers,North America,3,Validated broad company careers expansion,city=Oakland; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1547,AspireIQ,https://www.aspire.io/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1548,Atlas Van Lines,https://www.atlasvanlines.com/about/careers-culture,North America,3,Validated broad company careers expansion,category=Transportation; type=Private; city=Evansville; state=IN; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1549,Atmos Energy,https://www.atmosenergy.com/careers,North America,3,Validated broad company careers expansion,industry=Utilities: Gas and Electric; sector=Energy; rank=526; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1551,Aura Frames,https://auraframes.ca/careers?country_set=CA,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1553,Autoliv,https://www.autoliv.com/careers,North America,3,Validated broad company careers expansion,industry=Motor Vehicles and Parts; sector=Motor Vehicles & Parts; rank=312; category=Motor Vehicles & Parts; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1554,AutoZone,https://careers.autozone.com/hcmUI/CandidateExperience/en/sites/CX_1,North America,3,Validated broad company careers expansion,industry=Specialty Retailers: Other; sector=Retailing; rank=307; category=Retailing; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1555,Avalara,https://careers.avalara.com/careers-home,North America,3,Validated broad company careers expansion,category=Finance & Investment; type=Private; city=Bainbridge Island; state=WA; category=Finance & Investment; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1557,Avatier,https://www.avatier.com/careers,North America,3,Validated broad company careers expansion,city=Pleasanton; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1558,Avery Dennison,https://www.averydennison.com/en/home/careers/overview.html,North America,3,Validated broad company careers expansion,industry=Chemicals; sector=Chemicals; rank=427; category=Chemicals; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1559,Axiom Zen,https://axiomzen.co/careers,Vancouver,3,Validated broad company careers expansion,location=Vancouver; employees=51-200; raised=-; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1560,Ayasdi,http://www.ayasdi.com/careers,North America,3,Validated broad company careers expansion,category=Data/Technology; type=Private; city=Menlo Park; state=CA; category=Data/Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1561,Azavea,https://element84.com/who-we-are/careers,North America,3,Validated broad company careers expansion,category=Geospatial/Mapping; type=Private; city=Philadelphia; state=PA; category=Geospatial/Mapping; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1562,Babylist,https://www.babylist.com/about/careers,North America,3,Validated broad company careers expansion,city=Oakland; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1563,Ball,https://www.ball.com/careers,North America,3,Validated broad company careers expansion,"industry=Packaging, Containers; sector=Materials; rank=332; category=Materials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1564,Bath & Body Works,https://www.bathandbodyworks.com/careers,North America,3,Validated broad company careers expansion,rank=435; employees=32850; category=Large Employers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1565,BB&T Corp.,https://careers.truist.com/us/en,North America,3,Validated broad company careers expansion,industry=Commercial Banks; sector=Financials; rank=292; category=Financials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1566,Be Informed,https://www.beinformed.com/about-us/careers,North America,3,Validated broad company careers expansion,category=Data/Technology; type=Private; city=New York; state=NY; category=Data/Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1567,Beacon Roofing Supply,https://www.qxo.com/careers,North America,3,Validated broad company careers expansion,industry=Wholesalers: Diversified; sector=Wholesalers; rank=917; category=Wholesalers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1568,Becton Dickinson,https://jobs.bd.com/en,North America,3,Validated broad company careers expansion,industry=Medical Products and Equipment; sector=Health Care; rank=338; category=Health Care; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1569,Bed Bath & Beyond,https://corporate.beyond.com/corporate/careers,North America,3,Validated broad company careers expansion,industry=Specialty Retailers: Other; sector=Retailing; rank=260; category=Retailing; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1570,Beezwax Datatools,https://www.beezwax.net/careers,North America,3,Validated broad company careers expansion,city=Oakland; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1571,Bekins,https://www.bekins.com/contact/careers,North America,3,Validated broad company careers expansion,category=Transportation; type=Private; city=Indianapolis; state=IN; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1572,Belden,https://careers.belden.com,North America,3,Validated broad company careers expansion,"industry=Electronics, Electrical Equip.; sector=Industrials; rank=922; category=Industrials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1574,Berry Global Group,https://www.amcor.com/careers,North America,3,Validated broad company careers expansion,rank=271; employees=47000; category=Large Employers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1576,BetterLesson,https://betterlesson.com/careers,North America,3,Validated broad company careers expansion,category=Education; type=Private; city=Cambridge; state=MA; category=Education; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1577,Betterworks,https://www.betterworks.com/careers,North America,3,Validated broad company careers expansion,city=Redwood City; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1579,BillGuard,https://www.prosper.com:443/jobs,North America,3,Validated broad company careers expansion,category=Finance & Investment; type=Private; city=New York; state=NY; category=Finance & Investment; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1580,Binti,https://binti.com/careers,North America,3,Validated broad company careers expansion,city=Oakland; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1583,BitPay,https://www.bitpay.com/careers,Atlanta,3,Validated broad company careers expansion,"location=Atlanta; employees=11-50; raised=$32,700,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1584,Blackbaud,https://careers.blackbaud.com/us/en,North America,3,Validated broad company careers expansion,city=Emeryville; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1585,Blend,https://blend.com/company/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1586,Bloomin' Brands,https://www.bloominbrands.com/careers,North America,3,Validated broad company careers expansion,"industry=Food Services; sector=Hotels, Resturants & Leisure; rank=580; category=Hotels, Resturants & Leisure; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1587,Blue River Technology,https://www.bluerivertechnology.com/careers,North America,3,Validated broad company careers expansion,city=Sunnyvale; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1588,BlueCrew,https://www.employbridge.com/about-us/join-our-team,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1589,Blurb,https://www.blurb.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1590,Boise Cascade,https://www.bc.com/careers,North America,3,Validated broad company careers expansion,industry=Wholesalers: Diversified; sector=Wholesalers; rank=672; category=Wholesalers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1591,Boxbot,https://www.boxbot.io/careers,North America,3,Validated broad company careers expansion,city=Oakland; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1592,BrandYourself,https://brandyourself.com/careers,Lancaster,3,Validated broad company careers expansion,"location=Lancaster; employees=51-200; raised=$6,800,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1594,Brighthouse Financial,https://www.brighthousefinancial.com/careers,North America,3,Validated broad company careers expansion,rank=468; employees=1500; category=Large Employers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1595,Brightidea,https://www.brightidea.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1598,Brookdale Senior Living,http://careers.brookdale.com/en.html,North America,3,Validated broad company careers expansion,industry=Health Care: Medical Facilities; sector=Health Care; rank=639; category=Health Care; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1599,BuildFax,https://www.buildfax.com/careers,North America,3,Validated broad company careers expansion,category=Business & Legal Services; type=Private; state=NC; category=Business & Legal Services; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1600,BuildZoom,https://www.buildzoom.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1601,Bukwild,https://www.goodness.inc/careers,North America,3,Validated broad company careers expansion,city=Sacramento; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1602,Burlington Stores,https://www.burlington.com/careers,North America,3,Validated broad company careers expansion,industry=Specialty Retailers: Apparel; sector=Retailing; rank=532; category=Retailing; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1603,Business and Legal Resources,https://blr.com/about-us-draft/careers,North America,3,Validated broad company careers expansion,category=Business & Legal Services; type=Private; city=Brentwood; state=TN; category=Business & Legal Services; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1604,BWX Technologies,https://www.bwxt.com/careers,North America,3,Validated broad company careers expansion,industry=Industrial Machinery; sector=Industrials; rank=772; category=Industrials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1605,C.H. Robinson Worldwide,https://www.chrobinson.com/en-us/careers,North America,3,Validated broad company careers expansion,industry=Transportation and Logistics; sector=Transportation; rank=225; category=Transportation; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1606,C3,https://c3.ai/careers,North America,3,Validated broad company careers expansion,city=Redwood City; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1607,Cabot,https://www.cabotcorp.com/company/careers,North America,3,Validated broad company careers expansion,industry=Chemicals; sector=Chemicals; rank=661; category=Chemicals; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1609,CallidusCloud,https://jobs.sap.com,North America,3,Validated broad company careers expansion,city=Dublin; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1610,Calpine,https://www.calpine.com/careers,North America,3,Validated broad company careers expansion,industry=Energy; sector=Energy; rank=353; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1611,Calumet Specialty Products Partners,https://calumet.com/careers,North America,3,Validated broad company careers expansion,industry=Petroleum Refining; sector=Energy; rank=457; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1614,CAN Capital,https://www.cancapital.com/careers,North America,3,Validated broad company careers expansion,category=Finance & Investment; type=Private; city=New York; state=NY; category=Finance & Investment; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1615,Canvas Medical,https://www.canvasmedical.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1616,Carbon Five,https://www.westmonroe.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1617,CardFlight,https://cardflight.com/careers,New York City,3,Validated broad company careers expansion,"location=New York City; employees=11-50; raised=$5,800,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1618,Care.com,https://www.care.com/careers,Boston,3,Validated broad company careers expansion,"location=Boston; employees=501-1000; raised=$155,650,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1620,CareFusion,https://jobs.bd.com/en,North America,3,Validated broad company careers expansion,industry=Medical Products and Equipment; sector=Health Care; rank=635; category=Health Care; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1621,CareGuide,https://www.careguide.com/careers,Toronto,3,Validated broad company careers expansion,"location=Toronto; employees=11-50; raised=$5,550,000; category=Startup/Private; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal",company-site
1622,CARFAX,https://jobs.jobvite.com/careers/carfax/jobs?__jvst=CARFAX+Career+Site,North America,3,Validated broad company careers expansion,category=Transportation; type=Private; city=Centreville; state=VA; category=Transportation; validated=accept_direct_ats_or_redirect; status=200; known ATS host/source detected,jobvite
1623,Carpenter Technology,https://www.carpentertechnology.com/careers,North America,3,Validated broad company careers expansion,industry=Metals; sector=Materials; rank=962; category=Materials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1624,Caspio,https://www.caspio.com/careers,North America,3,Validated broad company careers expansion,category=Data/Technology; type=Private; city=Santa Clara; state=CA; category=Data/Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1626,CenterPoint Energy,https://careers.centerpointenergy.com,North America,3,Validated broad company careers expansion,industry=Utilities: Gas and Electric; sector=Energy; rank=313; category=Energy; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1627,Ceres Imaging,https://ceres.ai/careers,North America,3,Validated broad company careers expansion,city=Oakland; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1628,Certara,https://careers.certara.com,North America,3,Validated broad company careers expansion,category=Scientific Research; type=Private; city=St Louis; state=MO; category=Scientific Research; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1630,Chemical Abstracts Service,https://www.cas.org/careers,North America,3,Validated broad company careers expansion,category=Scientific Research; type=Nonprofit; city=Columbus; state=OH; category=Scientific Research; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1632,Cheniere Energy,https://www.cheniere.com/careers,North America,3,Validated broad company careers expansion,rank=233; employees=1550; category=Large Employers; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1633,Church & Dwight,https://churchdwight.com/careers,North America,3,Validated broad company careers expansion,industry=Household and Personal Products; sector=Household Products; rank=702; category=Household Products; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1634,Cincinnati Financial,https://www.cinfin.com/cincinnati-insurance-careers,North America,3,Validated broad company careers expansion,industry=Insurance: Property and Casualty (Stock); sector=Financials; rank=525; category=Financials; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1635,Cinemark Holdings,https://careers.cinemark.com,North America,3,Validated broad company careers expansion,industry=Entertainment; sector=Media; rank=827; category=Media; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
1636,Circle Medical,https://www.circlemedical.com/careers,North America,3,Validated broad company careers expansion,city=San Francisco; state=CA; category=Technology; validated=accept_verified_careers_page; status=200; reachable careers URL with careers/jobs content signal,company-site
